Day,Slope FD,Slope std dev FD,Slope 68% IC FD LOW,Slope 68% IC FD HIGH,Slope 95% IC FD LOW,Slope 95% IC FD HIGH,Slope 99.7% IC FD LOW,Slope 99.7% IC FD HIGH,S-Moving avrg 7 days FD,S-Moving avrg 14 days FD,Intercept FD,Intercept std dev FD,Intercept 68% IC FD LOW,Intercept 68% IC FD HIGH,Intercept 95% IC FD LOW,Intercept 95% IC FD HIGH,Intercept 99.7% IC FD LOW,Intercept 99.7% IC FD HIGH,S-Moving avrg 7 days FD,S-Moving avrg 14 days FD,R-value,P-value
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,8.320422124470032e-05,0.00014739766039577402,-6.41934391510737e-05,0.00023060188164047434,-0.00020569519313101676,0.0003721036356204174,-0.00032213934484367823,0.0004885477873330789,0.0,0.0,-0.0002738461106395739,0.00014739766039577402,-0.00042124377103534795,-0.00012644845024379988,-0.0005627455250152909,1.5053303736143177e-05,-0.0006791896767279525,0.00013149745544880465,0.0,0.0,0.010139619441289457,0.5724628682359056
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5641018439928985e-05,-2.1065085433813377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5641018439928985e-05,-2.1065085433813377e-05,0.0,1.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5641018439928985e-05,-2.1065085433813377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5641018439928985e-05,-2.1065085433813377e-05,0.0,1.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5641018439928985e-05,-2.1065085433813377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5641018439928985e-05,-2.1065085433813377e-05,0.0,1.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5641018439928985e-05,-2.1065085433813377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5641018439928985e-05,-2.1065085433813377e-05,0.0,1.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5641018439928985e-05,-2.1065085433813377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5641018439928985e-05,-2.1065085433813377e-05,0.0,1.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5641018439928985e-05,-2.1065085433813377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5641018439928985e-05,-2.1065085433813377e-05,0.0,1.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1065085433813377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1065085433813377e-05,0.0,1.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1065085433813377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1065085433813377e-05,0.0,1.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1065085433813377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1065085433813377e-05,0.0,1.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1065085433813377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1065085433813377e-05,0.0,1.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1065085433813377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1065085433813377e-05,0.0,1.0
